id	name	sig	conv	spec	vectors
1	ARR-SUM	ptr a n -- i64	as	Return the sum of all elements of the array.	[3 1 4 1 5] -> 14; [1 2 3] -> 6; [5] -> 5; [-2 -3] -> -5; [0 0 0] -> 0
2	ARR-MAX	ptr a n -- i64	as	Return the maximum element of the array (length >= 1).	[3 1 4 1 5] -> 5; [1] -> 1; [-5 -2 -9] -> -2; [7 7 7] -> 7
3	ARR-MIN	ptr a n -- i64	as	Return the minimum element of the array (length >= 1).	[3 1 4 1 5] -> 1; [9] -> 9; [-5 -2 -9] -> -9; [4 4 4] -> 4
4	ARGMAX	ptr a n -- i64	as	Return the index of the maximum element; on ties return the smallest index.	[3 1 4 1 5] -> 4; [9 1 1] -> 0; [1 5 5 2] -> 1; [5] -> 0
5	COUNT-EVEN	ptr a n -- i64	as	Return how many elements of the array are even (0 counts as even).	[3 1 4 1 5] -> 1; [2 4 6] -> 3; [1 3 5] -> 0; [0 2 0] -> 3
6	REVERSE	ptr a n --	aa	Reverse the array in place (or return the reversed array).	[3 1 4 1 5] -> [5 1 4 1 3]; [1 2 3] -> [3 2 1]; [7] -> [7]; [1 2] -> [2 1]
7	PREFIXSUM	ptr a n --	aa	Replace each element with the running sum of all elements up to and including it.	[3 1 4 1 5] -> [3 4 8 9 14]; [1 1 1] -> [1 2 3]; [5] -> [5]; [2 -1 3] -> [2 1 4]
8	SQ-EACH	ptr a n --	aa	Replace each element with its square.	[3 1 4 1 5] -> [9 1 16 1 25]; [-2 3] -> [4 9]; [0 5] -> [0 25]
9	NEGATE-EACH	ptr a n --	aa	Replace each element with its negation.	[3 1 4 1 5] -> [-3 -1 -4 -1 -5]; [-2 0 7] -> [2 0 -7]; [5] -> [-5]
10	RUNMAX	ptr a n --	aa	Replace each element with the maximum of all elements from the start up to and including it.	[3 1 4 1 5] -> [3 3 4 4 5]; [1 2 3] -> [1 2 3]; [5 4 3] -> [5 5 5]; [2 7 1] -> [2 7 7]
